gene_id	set_label	score
PF3D7_0509000	rest	7.117559247
PF3D7_1345700	rest	7.101176772
PF3D7_0515700	rest	7.093853868
PF3D7_1329100	rest	7.082458959
PF3D7_1315600	rest	7.059472319
PF3D7_1129900	rest	7.020069894
PF3D7_1354200	rest	6.990996586
PF3D7_1410000	rest	6.990996586
PF3D7_1241200	rest	6.987568473
PF3D7_0603400	rest	6.957025051
PF3D7_0528200	rest	6.930969083
PF3D7_1408000	rest	6.875225644
PF3D7_1233600	rest	6.865598923
PF3D7_1456500	rest	6.856717993
PF3D7_1433500	rest	6.856064274
PF3D7_1463500	rest	6.821266435
PF3D7_0909600	rest	6.802824985
PF3D7_0819800	rest	6.797527855
PF3D7_1025500	rest	6.797527855
PF3D7_1436900	rest	6.79211726
PF3D7_0215800	rest	6.78121803
PF3D7_0724500	rest	6.713046528
PF3D7_1403400	rest	6.713046528
PF3D7_0423500	rest	6.694905119
PF3D7_0313600	rest	6.690135649
PF3D7_0810200	rest	6.690135649
PF3D7_1408400	rest	6.677342099
PF3D7_1349200	rest	6.656379275
PF3D7_1354400	rest	6.643505594
PF3D7_1409300	rest	6.628559726
PF3D7_0404300	rest	6.584470587
PF3D7_1459000	rest	6.58375751
PF3D7_1311300	rest	6.573091525
PF3D7_1120500	rest	6.567630727
PF3D7_1439700	rest	6.566498758
PF3D7_0106800	rest	6.566002396
PF3D7_0512600	rest	6.549894058
PF3D7_1123400	rest	6.545631818
PF3D7_1360200	rest	6.538484382
PF3D7_0419600	rest	6.532526926
PF3D7_0319400	rest	6.531201825
PF3D7_0731800	rest	6.531201825
PF3D7_1359100	rest	6.531201825
PF3D7_1239800	rest	6.467498273
PF3D7_1124000	rest	6.465482551
PF3D7_1438600	rest	6.465482551
PF3D7_1314700	rest	6.454530326
PF3D7_1356300	rest	6.450561424
PF3D7_1355600	rest	6.445108414
PF3D7_1110400	rest	6.431870713
PF3D7_1033900	rest	6.409201365
PF3D7_0806800	rest	6.408605297
PF3D7_1458400	rest	6.406034086
PF3D7_1453700	rest	6.402891646
PF3D7_0622600	rest	6.398057758
PF3D7_0713700	rest	6.387881629
PF3D7_0622500	rest	6.387175058
PF3D7_0723000	rest	6.387175058
PF3D7_0922900	rest	6.387175058
PF3D7_1240000	rest	6.387175058
PF3D7_1437200	rest	6.380523833
PF3D7_0706700	rest	6.356018145
PF3D7_1122400	rest	6.34668028
PF3D7_0628000	rest	6.346557816
PF3D7_1452200	rest	6.346557816
PF3D7_0604000	rest	6.302286161
PF3D7_1212300	rest	6.301570361
PF3D7_1472000	rest	6.293957177
PF3D7_1339400	rest	6.293008347
PF3D7_0106100	rest	6.27247666
PF3D7_1007000	rest	6.261644176
PF3D7_0935000	rest	6.245835227
PF3D7_1226800	rest	6.245702632
PF3D7_1237700	rest	6.237900238
PF3D7_0913400	rest	6.209176756
PF3D7_1139900	rest	6.160921588
PF3D7_0211200	rest	6.160921588
PF3D7_0424600	rest	6.150193888
PF3D7_1108400	rest	6.150193888
PF3D7_1408100	rest	6.150193888
PF3D7_1236600	rest	6.141699024
PF3D7_1231100	rest	6.141399405
PF3D7_1406500	rest	6.140156859
PF3D7_1140200	rest	6.096427812
PF3D7_1230400	rest	6.082505716
PF3D7_0503800	rest	6.0667384
PF3D7_0216400	rest	6.039251755
PF3D7_0816100	rest	6.039251755
PF3D7_1006600	rest	6.039251755
PF3D7_1038000	rest	6.035867808
PF3D7_1128100	rest	6.01425927
PF3D7_1466800	rest	6.011888366
PF3D7_1029900	rest	5.998609771
PF3D7_1104000	rest	5.979985903
PF3D7_0303200	rest	5.901415168
PF3D7_0527900	rest	5.882062215
PF3D7_0910800	rest	5.882062215
PF3D7_1414000	rest	5.871988947
PF3D7_1456700	rest	5.870585776
PF3D7_1135600	rest	5.862622884
PF3D7_1114000	rest	5.823523064
PF3D7_1310500	rest	5.804969017
PF3D7_1468800	rest	5.80133309
PF3D7_1015200	rest	5.787340825
PF3D7_1412300	rest	5.757543561
PF3D7_0521900	rest	5.749745138
PF3D7_0527000	rest	5.737973841
PF3D7_0626100	rest	5.734529768
PF3D7_0415400	rest	5.73112946
PF3D7_0205100	rest	5.726661525
PF3D7_0210700	rest	5.726661525
PF3D7_0409000	rest	5.726661525
PF3D7_0924300	rest	5.726661525
PF3D7_1104700	rest	5.726661525
PF3D7_1111900	rest	5.726661525
PF3D7_0320100	rest	5.722800475
PF3D7_1038100	rest	5.691666497
PF3D7_1208900	rest	5.674545931
PF3D7_1117700	rest	5.668414773
PF3D7_0909800	rest	5.649881942
PF3D7_1322800	rest	5.64188048
PF3D7_0730400	rest	5.627742241
PF3D7_1132300	rest	5.621941847
PF3D7_0317000	rest	5.588280908
PF3D7_0711500	rest	5.577614816
PF3D7_0516700	rest	5.576092306
PF3D7_0208800	rest	5.57115475
