Gene ID	source_id	Previous ID(s)	
PF3D7_0114500	PF3D7_0114500.1	Previous IDs: MAL1P4.16d;PFA0700c	
PF3D7_0114600	PF3D7_0114600.1	Previous IDs: MAL1P4.16e;PFA0705c	
PF3D7_0114700	PF3D7_0114700.1	Previous IDs: MAL1P4.17;PFA0710c	
PF3D7_0114800	PF3D7_0114800.1	Previous IDs: MAL1P4.19;PFA0715c	
PF3D7_0114900	PF3D7_0114900.1	Previous IDs: MAL1P4.20;PFA0720w	
PF3D7_0115000	PF3D7_0115000.1	Previous IDs: 3D7surf1.3;MAL1P4.21;PFA0725w	
PF3D7_0115050	PF3D7_0115050.1	N/A	
PF3D7_0115100	PF3D7_0115100.1	Previous IDs: MAL1P4.22;PFA0735w	
PF3D7_0115150	PF3D7_0115150.1	N/A	
PF3D7_0115200	PF3D7_0115200.1	Previous IDs: MAL1P4.23;PFA0740w	
PF3D7_0115300	PF3D7_0115300.1	Previous IDs: MAL1P4.25;PFA0745w	
PF3D7_0115400	PF3D7_0115400.1	Previous IDs: MAL1P4.26;PFA0750w	
PF3D7_0115500	PF3D7_0115500.1	Previous IDs: PFA0755w	
PF3D7_0115600	PF3D7_0115600.1	Previous IDs: MAL1P4.28;PFA0760w	
PF3D7_0115700	PF3D7_0115700.1	Previous IDs: MAL1P4.29;PFA0765c	
PF3D7_0200100	PF3D7_0200100.1	Previous IDs: PF02_0001;PFB0010w	
PF3D7_0200200	PF3D7_0200200.1	Previous IDs: PF02_0002;PFB0015c	
PF3D7_0200300	PF3D7_0200300.1	Previous IDs: PF02_0003;PFB0020c	
PF3D7_0200400	PF3D7_0200400.1	Previous IDs: PF02_0004;PFB0025c	
PF3D7_0200500	PF3D7_0200500.1	Previous IDs: PF02_0005;PFB0030c	
PF3D7_0200600	PF3D7_0200600.1	Previous IDs: PF02_0006;PFB0035c	
PF3D7_0200700	PF3D7_0200700.1	Previous IDs: PF02_0007;PFB0040c	
PF3D7_0200800	PF3D7_0200800.1	Previous IDs: PF02_0008;PFB0045c	
PF3D7_0200900	PF3D7_0200900.1	Previous IDs: PF02_0009;PFB0050c	
PF3D7_0201000	PF3D7_0201000.1	Previous IDs: PF02_0010;PFB0055c	
PF3D7_0201100	PF3D7_0201100.1	Previous IDs: PF02_0011;PFB0056c	
PF3D7_0201200	PF3D7_0201200.1	Previous IDs: PF02_0012;PFB0060w	
PF3D7_0201300	PF3D7_0201300.1	Previous IDs: PF02_0013;PFB0065w	
PF3D7_0201400	PF3D7_0201400.1	Previous IDs: PF02_0014;PFB0070w	
PF3D7_0201500	PF3D7_0201500.1	Previous IDs: PF02_0015;PFB0075c	
PF3D7_0201600	PF3D7_0201600.1	Previous IDs: PF02_0016;PFB0080c	
PF3D7_0201700	PF3D7_0201700.1	Previous IDs: PF02_0017;PFB0085c	
PF3D7_0201800	PF3D7_0201800.1	Previous IDs: PF02_0018;PFB0090c	
PF3D7_0201900	PF3D7_0201900.1	Previous IDs: PF02_0019;PFB0095c	
PF3D7_0202000	PF3D7_0202000.1	Previous IDs: PF02_0020;PFB0100c	
PF3D7_0202100	PF3D7_0202100.1	Previous IDs: PF02_0021;PFB0105c	
PF3D7_0202200	PF3D7_0202200.1	Previous IDs: PF02_0022;PFB0106c	
PF3D7_0202300	PF3D7_0202300.1	Previous IDs: PF02_0023;PFB0110w	
PF3D7_0202400	PF3D7_0202400.1	Previous IDs: PF02_0024;PFB0115w	
PF3D7_0202500	PF3D7_0202500.1	Previous IDs: PF02_0025;PFB0120w	
PF3D7_0202600	PF3D7_0202600.1	Previous IDs: PF02_0026;PF3D7_0202600.1;PF3D7_0202600.2;PFB0125c	
PF3D7_0202600	PF3D7_0202600.2	Previous IDs: PF02_0026;PF3D7_0202600.1;PF3D7_0202600.2;PFB0125c	
PF3D7_0202700	PF3D7_0202700.1	Previous IDs: PF02_0027;PFB0130w	
PF3D7_0202800	PF3D7_0202800.1	Previous IDs: PFB0135w	
PF3D7_0202900	PF3D7_0202900.1	Previous IDs: PF02_0028;PFB0140w	
PF3D7_0203000	PF3D7_0203000.1	Previous IDs: PF02_0029;PFB0145c	
PF3D7_0203100	PF3D7_0203100.1	Previous IDs: PF02_0030;PFB0150c	
PF3D7_0203200	PF3D7_0203200.1	Previous IDs: PF02_0030;PFB0150c;PFB0151c	
PF3D7_0203300	PF3D7_0203300.1	Previous IDs: PF02_0031;PFB0160w	
PF3D7_0203400	PF3D7_0203400.1	Previous IDs: PF02_0032;PFB0161c	
PF3D7_0203500	PF3D7_0203500.1	Previous IDs: 1400.pre-trna-gln-1;MAL2_tRNA.Gln1;MAL2_tRNA.Gln1:tRNA	
PF3D7_0203600	PF3D7_0203600.1	Previous IDs: PF02_0033;PFB0170w	
PF3D7_0203700	PF3D7_0203700.1	Previous IDs: PF02_0034;PFB0175c	
PF3D7_0203800	PF3D7_0203800.1	Previous IDs: 1400.t00202;1400.t00265;PF02_0035;PF02_0036;PFB0176c;PFB0177c	
PF3D7_0203900	PF3D7_0203900.1	Previous IDs: PF02_0037;PFB0180w	
PF3D7_0204000	PF3D7_0204000.1	Previous IDs: PF02_0038;PFB0185w	
PF3D7_0204100	PF3D7_0204100.1	Previous IDs: PF02_0039;PFB0190c	
PF3D7_0204200	PF3D7_0204200.1	Previous IDs: PF02_0040;PFB0194w	
PF3D7_0204300	PF3D7_0204300.1	Previous IDs: PF02_0041;PFB0195c	
PF3D7_0204400	PF3D7_0204400.1	Previous IDs: PFB0196c	
PF3D7_0204500	PF3D7_0204500.1	Previous IDs: PF02_0042;PFB0200c	
PF3D7_0204600	PF3D7_0204600.1	Previous IDs: PF02_0043;PFB0205c	
PF3D7_0204700	PF3D7_0204700.1	Previous IDs: PF02_0044;PFB0210c	
PF3D7_0204800	PF3D7_0204800.1	Previous IDs: PF02_0045;PFB0215c	
PF3D7_0204900	PF3D7_0204900.1	Previous IDs: PF02_0046;PFB0220w	
PF3D7_0205000	PF3D7_0205000.1	Previous IDs: PF02_0047;PFB0225c	
PF3D7_0205100	PF3D7_0205100.1	Previous IDs: PF02_0048;PFB0227c;PFB0230c	
PF3D7_0205200	PF3D7_0205200.1	Previous IDs: PF02_0048;PFB0230c	
PF3D7_0205300	PF3D7_0205300.1	Previous IDs: PF02_0049;PFB0235w	
PF3D7_0205400	PF3D7_0205400.1	Previous IDs: PF02_0050;PFB0240w	
PF3D7_0205500	PF3D7_0205500.1	Previous IDs: PF02_0051;PFB0245c	
PF3D7_0205600	PF3D7_0205600.1	Previous IDs: PF02_0052;PFB0250w	
PF3D7_0205700	PF3D7_0205700.1	Previous IDs: 1400.t00249;1400.t00268;PF02_0053;PF02_0054;PF3D7_0205700.1;PF3D7_0205700.2;PFB0255w;PFB0256w	
PF3D7_0205700	PF3D7_0205700.2	Previous IDs: 1400.t00249;1400.t00268;PF02_0053;PF02_0054;PF3D7_0205700.1;PF3D7_0205700.2;PFB0255w;PFB0256w	
PF3D7_0205800	PF3D7_0205800.1	Previous IDs: PFB0257c	
PF3D7_0205900	PF3D7_0205900.1	Previous IDs: PF02_0055;PFB0260w	
PF3D7_0206000	PF3D7_0206000.1	Previous IDs: PF02_0056;PFB0265c	
PF3D7_0206100	PF3D7_0206100.1	Previous IDs: PF02_0057;PFB0270w	
PF3D7_0206200	PF3D7_0206200.1	Previous IDs: PF02_0058;PFB0275w	
PF3D7_0206300	PF3D7_0206300.1	Previous IDs: PF02_0059;PF02_0060;PF3D7_0206400;PFB0279w;PFB0280w	
PF3D7_0206500	PF3D7_0206500.1	Previous IDs: PF02_0061;PFB0285c	
PF3D7_0206600	PF3D7_0206600.1	Previous IDs: PF02_0062;PFB0290c	
PF3D7_0206700	PF3D7_0206700.1	Previous IDs: PF02_0063;PFB0295w	
PF3D7_0206800	PF3D7_0206800.1	Previous IDs: PF02_0064;PFB0300c	
PF3D7_0206900	PF3D7_0206900.1	Previous IDs: PF02_0065;PF3D7_0206900.1;PF3D7_0206900.2;PFB0305c	
PF3D7_0206900	PF3D7_0206900.2	Previous IDs: PF02_0065;PF3D7_0206900.1;PF3D7_0206900.2;PFB0305c	
PF3D7_0207000	PF3D7_0207000.1	Previous IDs: PF02_0066;PFB0310c	
PF3D7_0207100	PF3D7_0207100.1	Previous IDs: PF02_0067;PFB0315w	
PF3D7_0207200	PF3D7_0207200.1	Previous IDs: PF02_0068;PFB0320c	
PF3D7_0207300	PF3D7_0207300.1	Previous IDs: PF02_0069;PFB0325c	
PF3D7_0207400	PF3D7_0207400.1	Previous IDs: PF02_0070;PFB0330c	
PF3D7_0207500	PF3D7_0207500.1	Previous IDs: PF02_0071;PFB0335c	
PF3D7_0207600	PF3D7_0207600.1	Previous IDs: PF02_0072;PFB0340c	
PF3D7_0207700	PF3D7_0207700.1	Previous IDs: PF02_0073;PFB0345c	
PF3D7_0207800	PF3D7_0207800.1	Previous IDs: PF02_0074;PFB0350c	
PF3D7_0207900	PF3D7_0207900.1	Previous IDs: PF02_0075;PFB0355c	
PF3D7_0208000	PF3D7_0208000.1	Previous IDs: PF02_0076;PFB0360c	
PF3D7_0208100	PF3D7_0208100.1	Previous IDs: PF02_0077;PF3D7_0208100.1;PF3D7_0208100.2;PFB0365w	
PF3D7_0208200	PF3D7_0208200.1	Previous IDs: PF02_0078;PFB0370c	
PF3D7_0208300	PF3D7_0208300.1	Previous IDs: PF02_0079;PFB0375w	
PF3D7_0208400	PF3D7_0208400.1	Previous IDs: PF02_0080;PFB0380c	
PF3D7_0208500	PF3D7_0208500.1	Previous IDs: PF02_0081;PFB0385w	
PF3D7_0208600	PF3D7_0208600.1	Previous IDs: PF02_0082;PFB0390w	
PF3D7_0208700	PF3D7_0208700.1	Previous IDs: PF02_0083;PF3D7_0208700.1;PF3D7_0208700.2;PFB0391c	
PF3D7_0208700	PF3D7_0208700.2	Previous IDs: PF02_0083;PF3D7_0208700.1;PF3D7_0208700.2;PFB0391c	
PF3D7_0208800	PF3D7_0208800.1	Previous IDs: PF02_0084;PFB0395w	
PF3D7_0208900	PF3D7_0208900.1	Previous IDs: PF02_0085;PFB0400w	
PF3D7_0209000	PF3D7_0209000.1	Previous IDs: PF02_0086;PFB0405w	
PF3D7_0209100	PF3D7_0209100.1	Previous IDs: PF02_0087;PFB0410c	
PF3D7_0209200	PF3D7_0209200.1	Previous IDs: PF02_0088;PFB0415c	
PF3D7_0209300	PF3D7_0209300.1	Previous IDs: PF02_0089;PFB0420w	
PF3D7_0209400	PF3D7_0209400.1	Previous IDs: PF02_0090;PFB0423c;PFB0425c	
PF3D7_0209500	PF3D7_0209500.1	Previous IDs: PF02_0090;PFB0425c	
PF3D7_0209600	PF3D7_0209600.1	Previous IDs: PF02_0091;PFB0435c	
PF3D7_0209700	PF3D7_0209700.1	Previous IDs: PF02_0092;PFB0440c	
PF3D7_0209800	PF3D7_0209800.1	Previous IDs: PF02_0093;PFB0445c	
PF3D7_0209900	PF3D7_0209900.1	Previous IDs: PF02TR001;PF02TR001:ncRNA	
PF3D7_0210000	PF3D7_0210000.1	Previous IDs: PF02_0094;PFB0450w	
PF3D7_0210100	PF3D7_0210100.1	Previous IDs: PF02_0095;PF3D7_0210100.1;PF3D7_0210100.2;PFB0455w	
PF3D7_0210100	PF3D7_0210100.2	Previous IDs: PF02_0095;PF3D7_0210100.1;PF3D7_0210100.2;PFB0455w	
PF3D7_0210200	PF3D7_0210200.1	Previous IDs: PF02_0096;PFB0460c	
PF3D7_0210300	PF3D7_0210300.1	Previous IDs: PF02_0097;PFB0465c	
PF3D7_0210400	PF3D7_0210400.1	Previous IDs: PFB0467w	
PF3D7_0210500	PF3D7_0210500.1	Previous IDs: PF02_0098;PFB0470w	
PF3D7_0210600	PF3D7_0210600.1	Previous IDs: PF02_0099;PFB0475c	
PF3D7_0210700	PF3D7_0210700.1	Previous IDs: PF02_0100;PFB0480w	
PF3D7_0210800	PF3D7_0210800.1	Previous IDs: PF02_0101;PFB0485c	
PF3D7_0210900	PF3D7_0210900.1	Previous IDs: PF02_0102;PFB0490c	
PF3D7_0211000	PF3D7_0211000.1	Previous IDs: PF02TR002;PF02TR002:ncRNA	
PF3D7_0211100	PF3D7_0211100.1	Previous IDs: PF02_0103;PFB0495w	
PF3D7_0211200	PF3D7_0211200.1	Previous IDs: PF02_0104;PFB0500c	
PF3D7_0211300	PF3D7_0211300.1	Previous IDs: PF02_0105;PFB0501c	
PF3D7_0211400	PF3D7_0211400.1	Previous IDs: PF02_0106;PFB0505c	
PF3D7_0211500	PF3D7_0211500.1	Previous IDs: PF02_0107;PFB0510w	
PF3D7_0211600	PF3D7_0211600.1	Previous IDs: PF02_0108;PFB0515w	
PF3D7_0211700	PF3D7_0211700.1	Previous IDs: PF02_0109;PFB0520w	
PF3D7_0211800	PF3D7_0211800.1	Previous IDs: PF02_0110;PFB0525w	
PF3D7_0211900	PF3D7_0211900.1	Previous IDs: PF02_0111;PFB0530c	
PF3D7_0212000	PF3D7_0212000.1	Previous IDs: PF02_0112;PFB0535w	
PF3D7_0212100	PF3D7_0212100.1	Previous IDs: PF02_0113;PFB0540w	
PF3D7_0212200	PF3D7_0212200.1	Previous IDs: PF02_0114;PFB0545c	
PF3D7_0212300	PF3D7_0212300.1	Previous IDs: PF02_0115;PFB0550w	
PF3D7_0212400	PF3D7_0212400.1	Previous IDs: PF02_0116;PFB0555c	
PF3D7_0212500	PF3D7_0212500.1	Previous IDs: PF02_0117;PFB0560w	
PF3D7_0212600	PF3D7_0212600.1	Previous IDs: PF02_0118;PFB0570w	
PF3D7_0212700	PF3D7_0212700.1	Previous IDs: PF02_0119;PFB0575c	
PF3D7_0212800	PF3D7_0212800.1	Previous IDs: PF02_0120;PFB0580w	
PF3D7_0212900	PF3D7_0212900.1	Previous IDs: PF02_0121;PFB0585w	
PF3D7_0213000	PF3D7_0213000.1	Previous IDs: PF02_0122;PFB0590w	
PF3D7_0213100	PF3D7_0213100.1	Previous IDs: PF02_0123;PFB0595w	
